epoch,step,train_loss
49,49,0.1851937174797058
99,99,0.008547225967049599
149,149,0.003182459156960249
199,199,0.000797010026872158
249,249,0.00032427674159407616
299,299,0.00019470611005090177
349,349,0.0006747370352968574
399,399,0.00011197933054063469
