epoch,step,train_loss
49,49,0.3027134835720062
99,99,0.020155733451247215
149,149,0.0052350847981870174
199,199,0.002994982060045004
249,249,0.002128943568095565
299,299,0.0028731259517371655
349,349,0.001651232480071485
399,399,0.005043502897024155
